title,price,manufacturing_year,mileage,color,fuel,hp,eurostandard,cubic_capacity,gearbox,type,region,url
Mercedes-Benz GLE 250 AMG* 360* Panorama,45 500 лв.,ноември 2016 г.,164 000,,Дизелов,204,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21730139683062960-mercedes-benz-gle-250-amg-360-panorama
Mercedes-Benz GLE 250 4 WD,25 000 EUR,ноември 2017 г.,81 000,Бял,Дизелов,204,6,2143,автоматична,Джип,София,https://www.mobile.bg/obiava-21719937698596333-mercedes-benz-gle-250-4-wd
Mercedes-Benz GLE 250 AMG* 9G* CAMERA* 4MATIC* LED* СМЕНЕНА ВЕРИГА,54 500 лв.,февруари 2018 г.,195 000,Тъмно сив,Дизелов,204,,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21718395902236344-mercedes-benz-gle-250-amg-9g-camera-4matic-led-smenena-veriga
Mercedes-Benz GLE 350 Coupe 350/4-MATIC/63AMG/9G-tronic/,7 777 лв.,януари 2018 г.,175 000,Черен,Дизелов,258,6,,автоматична,Джип,Пазарджик,https://www.mobile.bg/obiava-21695141064528167-mercedes-benz-gle-350-coupe-350-4-matic-63amg-9g-tronic
Mercedes-Benz GLE 350,30 000 лв.,октомври 2017 г.,148 000,Tъмно син,Дизелов,258,6,3000,автоматична,Джип,София,https://www.mobile.bg/obiava-21739885590112837-mercedes-benz-gle-350
"Mercedes-Benz GLE 350 84000km, 2018",42 000 лв.,юли 2018 г.,84 000,Tъмно син,Бензинов,,,3500,автоматична,Джип,Кюстендил,https://www.mobile.bg/obiava-21706810894445363-mercedes-benz-gle-350-84000km-2018
Mercedes-Benz GLE 350 4matic AMG,43 000 лв.,април 2016 г.,176 664,Светло сив,Дизелов,258,6,2987,автоматична,Джип,София,https://www.mobile.bg/obiava-21733903141975415-mercedes-benz-gle-350-4matic-amg
Mercedes-Benz GLE 350,22 100 EUR,ноември 2016 г.,212 321,Сив,Дизелов,258,5,3500,автоматична,Джип,Бургас,https://www.mobile.bg/obiava-21708857516059531-mercedes-benz-gle-350
Mercedes-Benz GLE 350 3.0/258кс 4Matic Панорама,44 000 лв.,август 2018 г.,282 000,Бял,Дизелов,258,6,3000,автоматична,Джип,Враца,https://www.mobile.bg/obiava-21736514087889136-mercedes-benz-gle-350-3-0-258ks-4matic-panorama
Mercedes-Benz GLE 350 4Matic,45 000 лв.,юли 2017 г.,198 000,Черен,Бензинов,302,,3500,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21719670019615418-mercedes-benz-gle-350-4matic
Mercedes-Benz GLE 350 4-Matic NOV,45 700 лв.,юли 2016 г.,257 000,Сребърен,Дизелов,258,6,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21726214550779108-mercedes-benz-gle-350-4-matic-nov
Mercedes-Benz GLE 350 ОБЛCУЖРЕН-4MATIC,45 800 лв.,януари 2017 г.,198 000,Бордо,Бензинов,302,6,3500,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21739889812393788-mercedes-benz-gle-350-oblcuzhren-4matic
Mercedes-Benz GLE 350 4MATIC 9G TRONIC,48 000 лв.,ноември 2015 г.,202 000,Тъмно сив,Дизелов,258,6,3000,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21738326390395982-mercedes-benz-gle-350-4matic-9g-tronic
Mercedes-Benz GLE 350,48 000 лв.,декември 2015 г.,212 000,Бял,Дизелов,258,5,3000,автоматична,Джип,Перник,https://www.mobile.bg/obiava-21738655277210542-mercedes-benz-gle-350
Mercedes-Benz GLE 350 350d 4-matic premium,48 500 лв.,юни 2016 г.,197 000,Черен,Дизелов,258,,3000,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21719424409436534-mercedes-benz-gle-350-350d-4-matic-premium
Mercedes-Benz GLE 350 4 MATIK,48 999 лв.,септември 2018 г.,150 000,Бял,Бензинов,302,6,,автоматична,Джип,Добрич,https://www.mobile.bg/obiava-21728709000732022-mercedes-benz-gle-350-4-matik
Mercedes-Benz GLE 350 4матик. Амг пакет,49 000 лв.,октомври 2016 г.,149 000,Бял,Бензинов,302,6,,автоматична,Стреч лимузина,София,https://www.mobile.bg/obiava-21739291021406931-mercedes-benz-gle-350-4matik-amg-paket
"Mercedes-Benz GLE 350 AMG-Distronic-4-Matic, Внос, ,",49 900 лв.,ноември 2017 г.,198 900,Черен,Дизелов,258,6,2987,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21739994966043358-mercedes-benz-gle-350-amg-distronic-4-matic-vnos
Mercedes-Benz GLE 350 AMG,49 900 лв.,септември 2018 г.,198 900,Черен,Дизелов,258,6,3000,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21740042967695166-mercedes-benz-gle-350-amg
Mercedes-Benz GLE 350 GLE-350d,49 990 лв.,декември 2015 г.,149 500,Черен,Дизелов,258,6,3000,автоматична,Джип,Шумен,https://www.mobile.bg/obiava-21731688904263148-mercedes-benz-gle-350-gle-350d
Mercedes-Benz GLE 350 d= 4Matic= 63 AMG=,49 999 лв.,януари 2017 г.,181 000,Черен,Дизелов,258,6,2987,автоматична,Джип,Пазарджик,https://www.mobile.bg/obiava-21706805768278314-mercedes-benz-gle-350-d-4matic-63-amg
Mercedes-Benz GLE 350 d* * 4Matic* * AMG Line* * NightPaket* *,50 999 лв.,февруари 2017 г.,301 890,Черен,Дизелов,258,6,3000,автоматична,Джип,Видин,https://www.mobile.bg/obiava-21739270007591149-mercedes-benz-gle-350-d-4matic-amg-line-nightpaket
Mercedes-Benz GLE 350 AMG-LINE* 9G-Tronic* ТОП СЪСТОЯНИЕ*,51 000 лв.,ноември 2016 г.,192 210,Черен,Дизелов,258,6,3000,автоматична,Джип,Благоевград,https://www.mobile.bg/obiava-21703945519574817-mercedes-benz-gle-350-amg-line-9g-tronic-top-sastoyanie
Mercedes-Benz GLE 350,51 500 лв.,юни 2016 г.,208 548,Черен,Дизелов,258,6,2999,автоматична,Джип,Благоевград,https://www.mobile.bg/obiava-21732816032082114-mercedes-benz-gle-350
Mercedes-Benz GLE 350 ТОП СЪСТОЯНИЕ,51 999 лв.,юли 2017 г.,145 000,Бял,Дизелов,258,5,3000,автоматична,Джип,Благоевград,https://www.mobile.bg/obiava-21737466579185477-mercedes-benz-gle-350-top-sastoyanie
Mercedes-Benz GLE 350 AMG,52 000 лв.,ноември 2018 г.,167 000,Червен,Бензинов,306,6,3500,автоматична,Джип,София,https://www.mobile.bg/obiava-21717416420247924-mercedes-benz-gle-350-amg
Mercedes-Benz GLE 350 d 4Matic AMG Line* Pano*,52 900 лв.,ноември 2015 г.,179 500,Бял,Дизелов,258,5,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21725260233678986-mercedes-benz-gle-350-d-4matic-amg-line-pano
Mercedes-Benz GLE 350 AMG   4 Matic регистриран,53 500 лв.,ноември 2015 г.,225 000,Черен,Дизелов,260,6,3500,автоматична,Джип,Варна,https://www.mobile.bg/obiava-21733561709776239-mercedes-benz-gle-350-amg-4-matic-registriran
Mercedes-Benz GLE 350 6+ 1 N1,54 000 лв.,април 2018 г.,223 711,Сив,Дизелов,258,6,2950,автоматична,Джип,Стара Загора,https://www.mobile.bg/obiava-21714023779688601-mercedes-benz-gle-350-6-1-n1
Mercedes-Benz GLE 350 d 4M AMG,55 000 лв.,януари 2018 г.,236 000,Син,Дизелов,258,6,3000,автоматична,Джип,София,https://www.mobile.bg/obiava-21715326105077559-mercedes-benz-gle-350-d-4m-amg
Mercedes-Benz GLE 350 4 Matic,55 600 лв.,февруари 2018 г.,127 400,Бял,Бензинов,306,6,3500,автоматична,Джип,Варна,https://www.mobile.bg/obiava-21728303454327154-mercedes-benz-gle-350-4-matic
Mercedes-Benz GLE 350 AMG Пакет,55 600 лв.,януари 2017 г.,185 600,Черен,Дизелов,258,6,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21739081147843937-mercedes-benz-gle-350-amg-paket
Mercedes-Benz GLE 350,55 800 лв.,януари 2016 г.,172 000,Сив,Дизелов,258,6,3500,автоматична,Джип,Плевен,https://www.mobile.bg/obiava-21723535767300351-mercedes-benz-gle-350
Mercedes-Benz GLE 350 AMG 63 PACK 4M,28 999 EUR,декември 2015 г.,172 510,Сив,Дизелов,258,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21728894128289854-mercedes-benz-gle-350-amg-63-pack-4m
Mercedes-Benz GLE 350 d 4MATIC,29 000 EUR,септември 2017 г.,189 000,Сив,Дизелов,258,6,,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21737551003985632-mercedes-benz-gle-350-d-4matic
Mercedes-Benz GLE 350 D* 4Matic* AMG* ПЪЛНА СЕРВИЗНА ИСТОРИЯ В МЕРЦЕДЕС,57 800 лв.,ноември 2016 г.,190 150,Черен,Дизелов,258,5,2987,автоматична,Джип,София,https://www.mobile.bg/obiava-21736435256886985-mercedes-benz-gle-350-d-4matic-amg-palna-servizna-istoriya-v-mertsedes
Mercedes-Benz GLE 350 350,58 000 лв.,август 2017 г.,196 000,Черен,Дизелов,265,6,3000,автоматична,Джип,Враца,https://www.mobile.bg/obiava-21692378882132593-mercedes-benz-gle-350-350
